question,answer
What is your return policy?,You can return products within 30 days of delivery for a full refund
How long does shipping take?,Standard shipping takes 4-7 business days depending on location
Do you provide international shipping?,Yes we ship to most countries worldwide with additional charges
How can I track my order?,You will receive a tracking link via email once your order is shipped
What payment methods are accepted?,We accept credit/debit cards UPI net banking and wallet payments
Is there a warranty on products?,All products come with a 6-month service warranty
How can I contact support?,You can email support@example.com or use the live chat on our website
Can I cancel my order?,Orders can be cancelled before they are shipped from our warehouse
Do you offer bulk purchase discounts?,Yes discounts are available for bulk orders above 50 units
How do I reset my account password?,Click on Forgot Password at login and follow the instructions
